シート種別,事業年度,予算事業ID,事業名,府省庁の建制順,政策所管府省庁,府省庁,局・庁,部,課,室,班,係,予算年度,当初予算（合計）,補正予算（合計）,前年度からの繰越し（合計）,予備費等（合計）,計（歳出予算現額合計）,執行額（合計）,執行率,翌年度への繰越し(合計）,翌年度要求額（合計）,主な増減理由,その他特記事項,会計区分,会計,勘定,当初予算,第1次補正予算,第2次補正予算,第3次補正予算,第4次補正予算,第5次補正予算,前年度から繰越し,予備費等1,予備費等2,予備費等3,予備費等4,歳出予算現額,執行額,翌年度要求額,要望額,備考
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,2025,0,0,0,0,0,0,,0,0.0,,,,,,,,,,,,,,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,2025,,,,,,,,,,,,一般会計,一般会計,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,2024,0,0,0,0,0,5738388000,,0,0.0,,,,,,,,,,,,,,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,2024,,,,,,,,,,,,一般会計,一般会計,,0,0,0,0,0,0,0,0,0,0,0,0,5738388000,0,0,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,2023,0,0,0,0,0,12896926000,,0,0.0,,,,,,,,,,,,,,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,2023,,,,,,,,,,,,一般会計,一般会計,,0,0,0,0,0,0,0,0,0,0,0,0,12896926000,0,0,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,2022,0,0,0,0,0,15821000000,,0,0.0,,,,,,,,,,,,,,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,2022,,,,,,,,,,,,一般会計,一般会計,,0,0,0,0,0,0,0,0,0,0,0,0,15821000000,0,0,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,2021,0,0,0,13916000000,13916000000,13521000000,0.97162,0,0.0,,,,,,,,,,,,,,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,2021,,,,,,,,,,,,一般会計,一般会計,,0,0,0,0,0,0,0,13916000000,0,0,0,13916000000,13521000000,0,0,
レビューシート,2025,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,2025,17636000,0,0,0,17636000,0,,0,17930000.0,法教育コーディネーターの配置に向けた調査研究委託経費の増,,,,,,,,,,,,,,,,,,,,
レビューシート,2025,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,2025,,,,,,,,,,,,一般会計,一般会計,,17636000,0,0,0,0,0,0,0,0,0,0,17636000,0,17930000,7466000,
レビューシート,2025,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,2024,11169000,0,8260000,0,19429000,13435000,0.69149,0,24844000.0,庁費：小学校における法教育実践状況に関する調査研究経費等による増,,,,,,,,,,,,,,,,,,,,
レビューシート,2025,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,2024,,,,,,,,,,,,一般会計,一般会計,,11169000,0,0,0,0,0,8260000,0,0,0,0,19429000,13435000,24844000,15048000,
レビューシート,2025,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,2023,23737000,8260000,8220000,0,40217000,28433000,0.70699,8260000,42023000.0,重要政策推進枠：31庁費：法教育教材デジタルコンテンツ制作のための調査研究委託費等による増,,,,,,,,,,,,,,,,,,,,
レビューシート,2025,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,2023,,,,,,,,,,,,一般会計,一般会計,,23737000,8260000,0,0,0,0,8220000,0,0,0,0,40217000,28433000,42023000,0,
レビューシート,2025,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,2022,30261000,8220000,0,0,38481000,26000000,0.67566,8220000,36000000.0,重要政策推進枠：25庁費：法教育に関するウェブコンテンツ制作業務委託費等による増職員旅費：単価見直しなどによる増諸謝金：会議回数見直しなどによる増委員等旅費：単価見直しなどによる増,,,,,,,,,,,,,,,,,,,,
レビューシート,2025,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,2022,,,,,,,,,,,,一般会計,一般会計,,30261000,8220000,0,0,0,0,0,0,0,0,0,38481000,26000000,36000000,0,
